[18:33:34:251] Initating the game
[18:33:34:253] Camera created
[18:33:34:638] Texture added
[18:33:34:638] Star sphere created
[18:33:35:345] Texture added
[18:33:36:143] Texture added
[18:33:36:143] Mars created
[18:33:36:143] Game time initiated
[18:33:36:150] Texture added
[18:33:36:152] Font Created
[18:33:36:159] Texture added
[18:33:36:161] Texture added
[18:33:36:161] Debug window created
[18:33:36:165] Texture added
[18:33:36:172] Texture added
[18:33:36:178] Texture added
[18:33:36:180] Font Created
[18:33:36:182] Font Created
[18:33:36:189] Texture added
[18:33:36:191] Font Created
[18:33:36:192] FPS Text created in the Debug window
[18:33:36:192] Altitude Text created in the Debug window
[18:33:36:193] Vertices Text created in the Debug window
[18:33:36:194] orbitalAngleY Text created in the Debug window
[18:33:36:195] orbitalAngleXZ Text created in the Debug window
[18:33:36:196] Rotation XZ Text created in the Debug window
[18:33:36:197] Max Rotation XZ Text created in the Debug window
[18:33:36:198] Pos X Text created in the Debug window
[18:33:36:198] Pos Y Text created in the Debug window
[18:33:36:198] Pos Z Text created in the Debug window
[18:33:36:200] Texture added
[18:33:36:204] Texture added
[18:33:36:227] Texture added
[18:33:36:227] Mouse cursor created
[18:33:36:939] Avg FPS: 107  Avg Frametime: 0.0043   Avg Tick Time: 0.5388
[18:33:37:647] Avg FPS: 110  Avg Frametime: 0.0039   Avg Tick Time: 0.5718
[18:33:38:354] Avg FPS: 122  Avg Frametime: 0.0039   Avg Tick Time: 0.5313
[18:33:39:650] Avg FPS: 114  Avg Frametime: 0.0040   Avg Tick Time: 0.5487
[18:33:39:774] Avg FPS: 116  Avg Frametime: 0.0041   Avg Tick Time: 0.5298
[18:33:40:481] Avg FPS: 127  Avg Frametime: 0.0040   Avg Tick Time: 0.4980
[18:33:41:191] Avg FPS: 122  Avg Frametime: 0.0042   Avg Tick Time: 0.4847
[18:33:41:904] Avg FPS: 105  Avg Frametime: 0.0045   Avg Tick Time: 0.5291
[18:33:42:611] Avg FPS: 113  Avg Frametime: 0.0040   Avg Tick Time: 0.5560
[18:33:43:317] Avg FPS: 114  Avg Frametime: 0.0038   Avg Tick Time: 0.5651
[18:33:44:250] Avg FPS: 121  Avg Frametime: 0.0039   Avg Tick Time: 0.5286
[18:33:44:729] Avg FPS: 110  Avg Frametime: 0.0039   Avg Tick Time: 0.5714
[18:33:45:437] Avg FPS: 127  Avg Frametime: 0.0039   Avg Tick Time: 0.5065
[18:33:46:148] Avg FPS: 105  Avg Frametime: 0.0039   Avg Tick Time: 0.5987
[18:33:46:859] Avg FPS:  92  Avg Frametime: 0.0037   Avg Tick Time: 0.6625
[18:33:47:565] Avg FPS:  92  Avg Frametime: 0.0036   Avg Tick Time: 0.6687
[18:33:48:276] Avg FPS:  87  Avg Frametime: 0.0037   Avg Tick Time: 0.6861
[18:33:48:981] Avg FPS:  83  Avg Frametime: 0.0039   Avg Tick Time: 0.6784
[18:33:49:694] Avg FPS:  79  Avg Frametime: 0.0041   Avg Tick Time: 0.6833
[18:33:50:399] Avg FPS:  87  Avg Frametime: 0.0040   Avg Tick Time: 0.6573
[18:33:51:116] Avg FPS:  90  Avg Frametime: 0.0040   Avg Tick Time: 0.6552
[18:33:51:821] Avg FPS:  87  Avg Frametime: 0.0038   Avg Tick Time: 0.6767
[18:33:52:528] Avg FPS:  77  Avg Frametime: 0.0047   Avg Tick Time: 0.6405
[18:33:53:238] Avg FPS:  86  Avg Frametime: 0.0041   Avg Tick Time: 0.6574
[18:33:53:944] Avg FPS:  89  Avg Frametime: 0.0038   Avg Tick Time: 0.6620
[18:33:54:655] Avg FPS:  92  Avg Frametime: 0.0036   Avg Tick Time: 0.6738
[18:33:55:365] Avg FPS:  83  Avg Frametime: 0.0040   Avg Tick Time: 0.6721
[18:33:56:800] Avg FPS:  77  Avg Frametime: 0.0057   Avg Tick Time: 0.5702
[18:33:56:790] Avg FPS:  68  Avg Frametime: 0.0084   Avg Tick Time: 0.4355
[18:33:57:511] Avg FPS:  62  Avg Frametime: 0.0116   Avg Tick Time: 0.2999
[18:33:58:222] Avg FPS:  47  Avg Frametime: 0.0170   Avg Tick Time: 0.2058
[18:33:58:934] Avg FPS:  47  Avg Frametime: 0.0171   Avg Tick Time: 0.2118
[18:33:59:644] Avg FPS:  49  Avg Frametime: 0.0164   Avg Tick Time: 0.1989
[18:34:00:349] Avg FPS:  58  Avg Frametime: 0.0130   Avg Tick Time: 0.2387
[18:34:01:530] Avg FPS:  82  Avg Frametime: 0.0072   Avg Tick Time: 0.4112
[18:34:01:761] Avg FPS:  85  Avg Frametime: 0.0060   Avg Tick Time: 0.4950
[18:34:02:472] Avg FPS:  92  Avg Frametime: 0.0055   Avg Tick Time: 0.5010
[18:34:03:182] Avg FPS:  76  Avg Frametime: 0.0067   Avg Tick Time: 0.4979
[18:34:03:891] Avg FPS:  68  Avg Frametime: 0.0075   Avg Tick Time: 0.4980
[18:34:04:602] Avg FPS:  81  Avg Frametime: 0.0052   Avg Tick Time: 0.5898
[18:34:05:308] Avg FPS:  80  Avg Frametime: 0.0047   Avg Tick Time: 0.6233
[18:34:06:150] Avg FPS:  84  Avg Frametime: 0.0044   Avg Tick Time: 0.6347
[18:34:06:724] Avg FPS:  84  Avg Frametime: 0.0044   Avg Tick Time: 0.6285
[18:34:07:431] Avg FPS:  84  Avg Frametime: 0.0044   Avg Tick Time: 0.6321
[18:34:08:138] Avg FPS:  92  Avg Frametime: 0.0040   Avg Tick Time: 0.6345
[18:34:08:847] Avg FPS:  99  Avg Frametime: 0.0038   Avg Tick Time: 0.6272
[18:34:09:556] Avg FPS:  85  Avg Frametime: 0.0055   Avg Tick Time: 0.5296
